Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
5284359,110.98400000000001,-6.3728,0.0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,2,0
9290,430.37200000000007,-10.036400000000004,282.56,10,14,10,0,0,0.8333333333333334,27,0,0,0,0,0,0,0,0,0,0,2
13144,218.218,-4.146599999999998,120.72000000000001,2,6,2,0,0,0.6666666666666666,13,0,0,0,0,0,0,0,0,0,0,2
13136,498.43200000000013,-11.647600000000006,281.23999999999995,2,14,10,0,0,0.5,29,0,0,0,0,0,0,0,0,0,0,6
6375,61.040000000000006,-0.10710000000000008,43.14,0,2,0,0,0,1.0,4,0,0,0,0,0,0,0,0,0,0,0
7923,98.05699999999999,-0.3740000000000001,43.370000000000005,0,3,0,0,1,0.0,7,0,0,2,0,0,0,0,1,0,0,0
6587,75.067,0.2829999999999999,43.14,0,2,1,0,0,1.0,5,0,0,0,0,0,0,0,0,0,0,0
7903,89.09399999999998,0.6731,43.14,0,2,2,0,0,1.0,6,0,0,0,0,0,0,0,0,0,0,0
101269,625.0320000000002,11.956699999999984,72.83,1,5,36,0,0,0.9487179487179487,44,0,0,2,0,0,0,0,2,0,0,0
23931,200.59,-0.0025,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
9839867,315.234,-5.067199999999996,155.68,4,6,11,0,0,0.6,21,0,0,0,0,0,0,0,0,0,0,4
5997,386.66400000000016,7.38870000000001,20.23,1,1,5,0,4,0.9259259259259259,28,0,0,0,0,0,0,0,0,0,0,0
61560,177.702,-1.1861,117.0,0,0,0,0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0
