API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
219078,250.298,0.45390000000000025,67.42999999999999,2,3,6,1,1,0.38461538461538464,18,0,2,0,2,0,0,0,1,0,0,0
221493,408.5790000000002,3.448700000000003,97.99000000000001,4,4,4,0,4,0.9583333333333334,29,0,0,0,0,0,0,0,0,0,0,1
406563,637.0360000000003,6.791420000000004,146.72,4,6,6,4,4,0.10714285714285714,43,0,3,0,3,0,0,0,1,0,4,0
441074,324.4240000000001,3.173200000000002,45.59,1,4,4,2,5,0.45,24,0,0,0,0,0,0,0,1,0,0,0
441300,286.33900000000006,1.0922999999999998,101.88,3,6,4,2,4,0.5,21,1,1,0,0,0,0,0,0,0,0,0
441308,684.8240000000006,1.1038000000000041,216.49999999999997,8,12,21,2,2,0.5882352941176471,48,0,2,0,0,0,0,0,4,0,0,2
441358,299.84499999999997,4.248200000000004,12.03,1,1,3,2,3,0.2631578947368421,21,0,1,0,0,0,0,0,0,0,1,0
443872,414.4980000000003,3.124500000000002,82.2,0,6,1,0,6,0.7916666666666666,30,0,0,2,0,0,1,0,3,1,0,0
443953,862.064,2.6798000000000077,226.27999999999997,4,17,12,0,3,0.9069767441860465,60,0,0,3,0,0,1,0,8,0,0,0
444030,507.4720000000003,4.5354000000000045,55.56,1,3,7,3,5,0.32142857142857145,33,1,0,0,1,0,0,0,1,0,1,0
445643,804.0310000000002,4.639000000000004,178.35999999999999,3,12,7,0,4,0.7727272727272727,57,0,0,1,1,0,2,0,5,0,0,0
446987,138.059,-0.09110000000000007,70.06,2,2,1,0,1,1.0,8,0,0,0,0,0,0,0,1,1,0,0
447043,748.9960000000002,1.9007000000000054,180.07999999999998,5,14,7,0,3,0.9736842105263158,52,0,0,1,0,0,0,0,6,0,0,0
447715,420.63400000000024,5.114000000000006,77.76,3,3,5,0,4,0.9615384615384616,30,0,0,0,0,0,0,0,0,0,0,1
449193,403.212,5.030900000000003,60.45,1,4,7,2,3,0.29411764705882354,26,0,1,0,1,0,0,0,2,0,4,0
456199,359.26,2.667700000000001,88.65,0,6,5,2,3,0.35714285714285715,25,0,0,0,0,0,0,0,3,0,3,0
