weight_a,val_pr_auc
0.0,0.6588336993139101
0.05,0.6728910199087128
0.1,0.6806496877006825
0.15000000000000002,0.6822020850440592
0.2,0.6787425108487953
0.25,0.6765959937178677
0.30000000000000004,0.6738831029390305
0.35000000000000003,0.6721540813893583
0.4,0.6679987745624633
0.45,0.6640001150818717
0.5,0.6605043249329253
0.55,0.6578420428573103
0.6000000000000001,0.653906246058983
0.65,0.6479404404822591
0.7000000000000001,0.6444007076450272
0.75,0.6446431200952506
0.8,0.6402397932313251
0.8500000000000001,0.6373274412712587
0.9,0.6305413761314173
0.9500000000000001,0.6252792746290525
1.0,0.6185613758506874
