weight_a,val_pr_auc
0.0,0.6939330725323647
0.05,0.6987192665894923
0.1,0.6993295022125734
0.15000000000000002,0.6996085441510038
0.2,0.6966220461658463
0.25,0.6935746436452277
0.30000000000000004,0.6895094295005004
0.35000000000000003,0.6889637466687749
0.4,0.6865617006669502
0.45,0.6855732407988794
0.5,0.6849212244337093
0.55,0.6822864589186546
0.6000000000000001,0.6780933039652105
0.65,0.6727077133522286
0.7000000000000001,0.6678577994122826
0.75,0.6645650002324078
0.8,0.6583390157894977
0.8500000000000001,0.6532375237765798
0.9,0.6453753169361779
0.9500000000000001,0.6396340855536472
1.0,0.6185613758506874
